date,open,close,high,low,volume,money,rt1,year,month,day,rk,rt,rv,rk_twoscale
2011/5/27,1273.86,1258.81,1277.61,1257.85,1066606200,14159339871,-0.005676013,2011,5,27,3.10E-04,-0.5676013,0.322171236,1.33E-04
2011/5/30,1254.83,1249.44,1265.84,1247.37,972568100,12207629457,-0.003244779,2011,5,30,2.05E-04,-0.3244779,0.105285908,1.19E-04
2011/5/31,1254.18,1275.04,1275.1,1250.3,976404900,14662818090,0.008808404,2011,5,31,7.93E-05,0.8808404,0.77587981,5.37E-05
2011/6/1,1273.3,1279.5,1281.79,1268.27,909741900,13015190903,0.001516481,2011,6,1,1.19E-04,0.1516481,0.022997146,7.00E-05
2011/6/2,1265.58,1262.01,1272.65,1246.81,1205870800,17225600877,-0.005977494,2011,6,2,8.22E-05,-0.5977494,0.357304345,3.45E-05
2011/6/3,1261.54,1279.4,1281.91,1261.19,864297300,12663995897,0.00594355,2011,6,3,1.10E-04,0.594355,0.353257866,6.34E-05
2011/6/7,1276.27,1290.22,1291.66,1275.01,848570500,13333124077,0.003657423,2011,6,7,5.65E-05,0.3657423,0.13376743,3.30E-05
2011/6/8,1289.7,1297.85,1298.1,1273.57,1211307200,14289860567,0.002560732,2011,6,8,5.37E-05,0.2560732,0.065573484,3.89E-05
2011/6/9,1294.9,1275.31,1295.74,1275.31,1205997400,13912960219,-0.007608736,2011,6,9,1.77E-04,-0.7608736,0.578928635,6.99E-05
2011/6/10,1270.68,1275.85,1279.1,1258.79,1141252100,14272387175,0.000183853,2011,6,10,1.41E-04,0.0183853,0.000338019,6.57E-05
2011/6/13,1266.34,1270.01,1274.61,1258.39,948496100,12173650531,-0.001992477,2011,6,13,1.11E-04,-0.1992477,0.039699646,7.35E-05
2011/6/14,1268.34,1290.9,1293.55,1267.42,1388858900,16608064793,0.00708546,2011,6,14,1.39E-04,0.708546,0.502037434,6.45E-05
2011/6/15,1288.4,1277.93,1295.32,1277.64,943623500,12527943080,-0.004385535,2011,6,15,3.03E-05,-0.4385535,0.192329172,3.48E-05
2011/6/16,1268.12,1257.24,1272.62,1256.65,867684700,10364092481,-0.007088876,2011,6,16,1.22E-04,-0.7088876,0.502521629,7.43E-05
2011/6/17,1256.23,1244.81,1264.3,1244.38,989572500,15314843439,-0.004315121,2011,6,17,3.03E-04,-0.4315121,0.186202692,1.45E-04
2011/6/20,1243.59,1232,1246.46,1226.93,818059700,12717201321,-0.004492361,2011,6,20,1.08E-04,-0.4492361,0.201813074,4.20E-05
2011/6/21,1235.01,1247.21,1247.21,1232.59,1055185300,14012946260,0.005328876,2011,6,21,1.38E-04,0.5328876,0.283969194,6.40E-05
2011/6/22,1250.58,1250.28,1255.3,1243.28,921411100,11841986782,0.0010677,2011,6,22,1.59E-04,0.10677,0.011399833,7.80E-05
2011/6/23,1246.9,1272.95,1277.22,1241.46,1124173500,15127914385,0.007804061,2011,6,23,5.69E-04,0.7804061,0.609033681,2.77E-04
2011/6/24,1270.54,1303.23,1309.88,1269.78,1835876800,25874225254,0.010209723,2011,6,24,1.95E-04,1.0209723,1.042384437,1.12E-04
2011/6/27,1305.91,1308.11,1316.4,1298.29,1316284000,16737607633,0.001623197,2011,6,27,9.86E-05,0.1623197,0.026347685,7.75E-05
2011/6/28,1309.5,1313.34,1314.06,1300.22,1247855300,17180095483,0.001732906,2011,6,28,8.41E-05,0.1732906,0.030029632,3.36E-05
